SCENE ID,START TIME,END TIME
"1","00:00:00","00:02:22"
"1--3","00:02:22","00:03:22"
"3","00:03:22","00:04:40"
"3--5","00:04:40","00:04:48"
"5","00:04:48","00:05:37"
"5--7","00:05:37","00:06:38"
"7","00:06:38","00:07:36"
"7--9","00:07:36","00:07:52"
"9","00:07:52","00:07:57"
"10","00:07:57","00:10:22"
"10--12","00:10:22","00:10:38"
"12","00:10:38","00:10:41"
"12--14","00:10:41","00:11:44"
"14","00:11:44","00:11:47"
"14--16","00:11:47","00:12:03"
"16","00:12:03","00:14:00"
"16--22","00:14:00","00:15:00"
"22","00:15:00","00:16:27"
"23","00:16:27","00:17:12"
"24","00:17:12","00:17:20"
"25","00:17:20","00:17:24"
"26","00:17:24","00:22:31"
"27","00:22:31","00:22:42"
"28","00:22:42","00:24:52"
"29","00:24:52","00:25:55"
"30","00:25:55","00:26:31"
"30--33","00:26:31","00:27:01"
"33","00:27:01","00:27:05"
"33--35","00:27:05","00:27:10"
"35","00:27:10","00:27:26"
"35--37","00:27:26","00:28:27"
"37","00:28:27","00:28:37"
"38","00:28:37","00:29:52"
"39","00:29:52","00:31:22"
"40","00:31:22","00:31:46"
"41","00:31:46","00:32:27"
"42","00:32:27","00:33:43"
"43","00:33:43","00:35:21"
"44","00:35:21","00:36:25"
"45","00:36:25","00:37:28"
"45--48","00:37:28","00:37:34"
"48","00:37:34","00:38:07"
"48--50","00:38:07","00:38:19"
"50","00:38:19","00:38:29"
"51","00:38:29","00:39:20"
"52","00:39:20","00:40:57"
"53","00:40:57","00:43:05"
"54","00:43:05","00:43:22"
"55","00:43:22","00:43:41"
"56","00:43:41","00:44:27"
"57","00:44:27","00:45:46"
"58","00:45:46","00:46:24"
"59","00:46:24","00:48:03"
"60","00:48:03","00:48:09"
"61","00:48:09","00:48:13"
"62","00:48:13","00:51:26"
"63","00:51:26","00:52:03"
"63--65","00:52:03","00:52:09"
"65","00:52:09","00:52:15"
"66","00:52:15","00:52:31"
"66--70","00:52:31","00:53:27"
"70","00:53:27","00:53:34"
"70--73","00:53:34","00:54:16"
"73","00:54:16","00:54:40"
"73--77","00:54:40","00:54:45"
"77","00:54:45","00:56:01"
"77--79","00:56:01","00:56:07"
"79","00:56:077","00:56:16"
"79--81","00:56:16","00:56:25"
"81","00:56:25","00:57:01"
"81--86","00:57:01","00:57:30"
"86","00:57:30","00:57:34"
"86--88","00:57:34","00:57:42"
"88","00:57:42","00:57:47"
"88--90","00:57:47","00:58:09"
"90","00:58:09","00:59:07"
"91","00:59:07","01:00:52"
"91--93","01:00:52","01:00:57"
"93","01:00:57","01:07:01"
"93--100","01:07:01","01:07:39"
"100","01:07:39","01:10:19"
"101","01:10:19","01:11:34"
"102","01:11:34","01:11:44"
"103","01:11:44","01:11:59"
"104","01:11:59","01:13:01"
"105","01:13:01","01:13:08"
"106","01:13:08","01:14:26"
"107","01:14:26","01:17:06"
"107--112","01:17:06","01:17:28"
"112","01:17:28","01:24:08"
"112--114","01:24:08","01:24:17"
"114","01:24:17","01:24:28"
"115","01:24:28","01:24:46"
"115--117","01:24:46","01:24:56"
"117","01:24:56","01:25:04"
"117--121","01:25:04","01:25:40"
"121","01:25:40","01:26:15"
"121--124","01:26:15","01:26:38"
"124","01:26:38","01:27:19"
"124--127","01:27:19","01:28:16"
"127","01:28:16","01:28:24"
"128","01:28:24","01:28:30"
"129","01:28:30","01:28:35"
"130","01:28:35","01:29:20"
"130--132","01:29:20","01:29:39"
"132","01:29:39","01:29:42"
"133","01:29:42","01:29:51"
"134","01:29:51","01:30:15"
"135","01:30:15","01:31:13"
"136","01:31:13","01:31:16"
"137","01:31:16","01:31:45"
"138","01:31:45","01:32:41"
"139","01:32:41","01:33:20"
"140","01:33:20","01:33:43"
"141","01:33:43","01:36:00"
"142","01:36:00","01:36:05"
"143","01:36:05","01:36:15"
"144","01:36:15","01:43:02"
"145","01:43:02","01:44:03"
"146","01:44:03","01:49:38"
"147","01:49:38","01:54:17"
"148","01:54:17","01:54:59"
"149","01:54:59","01:56:26"
"150","01:56:26","01:56:42"
"151","01:56:42","01:57:54"
"152","01:57:54","02:00:34"
"153","02:00:34","02:13:58"
