"SOURCE NODE ID","TARGET NODE ID","SOURCE SCENE ID","TARGET SCENE ID"
"77","3","117","118"
"87","7","9","8"
"108","7","7","8"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"30","10","39","38"
"13","12","18","19"
"42","12","20","19"
"87","13","9","10"
"53","13","11","10"
"12","13","19","18"
"48","13","17","18"
"61","16","40","41"
"37","16","42","41"
"62","19","103","104"
"29","24","45","46"
"47","24","47","46"
"122","28","55","54"
"29","28","45","44"
"24","29","46","45"
"28","29","44","45"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"10","30","38","39"
"61","30","40","39"
"61","30","40","39"
"61","30","40","39"
"61","30","40","39"
"95","33","152","151"
"90","34","123","122"
"16","37","41","42"
"48","41","17","16"
"12","42","19","20"
"138","43","143","142"
"89","43","141","142"
"24","47","46","47"
"41","48","16","17"
"13","48","18","17"
"53","49","11","12"
"13","53","10","11"
"49","53","12","11"
"104","57","32","33"
"63","60","115","114"
"63","60","115","114"
"63","60","115","114"
"63","60","115","114"
"16","61","41","40"
"30","61","39","40"
"30","61","39","40"
"30","61","39","40"
"30","61","39","40"
"19","62","104","103"
"60","63","114","115"
"60","63","114","115"
"60","63","114","115"
"60","63","114","115"
"69","67","50","51"
"67","69","51","50"
"3","77","118","117"
"115","81","81","80"
"84","83","136","137"
"84","83","136","137"
"84","83","136","137"
"84","83","136","137"
"83","84","137","136"
"83","84","137","136"
"83","84","137","136"
"83","84","137","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"94","84","135","136"
"116","86","100","101"
"7","87","8","9"
"13","87","10","9"
"43","89","142","141"
"124","89","140","141"
"34","90","122","123"
"91","90","124","123"
"138","91","143","144"
"90","91","123","124"
"126","93","132","131"
"126","93","132","131"
"126","93","132","131"
"126","93","132","131"
"125","93","134","133"
"126","93","132","133"
"126","93","132","133"
"126","93","132","133"
"126","93","132","133"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"84","94","136","135"
"125","94","134","135"
"125","94","134","135"
"125","94","134","135"
"125","94","134","135"
"33","95","151","152"
"145","102","36","35"
"135","104","31","32"
"135","104","31","30"
"57","104","33","32"
"108","105","7","6"
"106","105","5","6"
"105","106","6","5"
"148","107","58","59"
"7","108","8","7"
"105","108","6","7"
"124","110","140","139"
"81","115","80","81"
"86","116","101","100"
"28","122","54","55"
"110","124","139","140"
"89","124","141","140"
"94","125","135","134"
"94","125","135","134"
"94","125","135","134"
"94","125","135","134"
"93","125","133","134"
"93","126","131","132"
"93","126","131","132"
"93","126","131","132"
"93","126","131","132"
"93","126","133","132"
"93","126","133","132"
"93","126","133","132"
"93","126","133","132"
"104","135","32","31"
"104","135","30","31"
"91","138","144","143"
"43","138","142","143"
"102","145","35","36"
"107","148","59","58"
