"SCENE ID","START TIME","END TIME"
"1","00:02:28","00:02:47"
"2","00:03:14","00:03:17"
"3","00:03:55","00:04:47"
"4","00:05:05","00:05:43"
"5","00:05:45","00:06:23"
"6","00:06:36","00:08:01"
"7","00:08:42","00:10:24"
"8","00:10:37","00:10:45"
"9","00:11:16","00:14:46"
"10","00:15:19","00:16:39"
"12","00:19:29","00:19:31"
"13","00:19:31","00:21:17"
"14","00:21:31","00:22:09"
"15","00:23:03","00:23:25"
"16","00:23:34","00:24:44"
"17","00:25:15","00:28:14"
"19","00:28:28","00:29:28"
"20","00:30:19","00:30:36"
"21","00:30:42","00:31:06"
"23","00:31:29","00:31:43"
"24","00:31:48","00:32:05"
"25","00:32:10","00:32:13"
"26","00:32:37","00:32:39"
"30","00:33:03","00:33:16"
"32","00:33:23","00:33:47"
"34","00:34:20","00:35:44"
"36","00:35:46","00:35:50"
"37","00:36:00","00:36:23"
"38","00:36:31","00:36:34"
"43","00:37:13","00:37:43"
"46","00:38:42","00:39:26"
"48","00:39:52","00:44:40"
"49","00:45:41","00:48:17"
"51","00:48:40","00:51:34"
"52","00:51:50","00:52:27"
"53","00:52:36","00:52:38"
"54","00:52:41","00:53:28"
"56","00:53:44","00:54:18"
"58","00:54:34","00:55:22"
"58","00:55:51","00:55:22"
"59","00:56:07","00:55:47"
"59","00:55:27","00:55:47"
"58","00:54:34","00:55:59"
"58","00:55:51","00:55:59"
"59","00:56:07","00:56:18"
"59","00:55:27","00:56:18"
"60","00:56:20","00:56:37"
"62","00:57:10","00:57:34"
"63","00:57:37","00:58:49"
"64","00:59:01","00:59:50"
"65","01:02:04","01:02:39"
"66","01:03:01","01:06:02"
"68","01:06:44","01:07:43"
"69","01:08:05","01:08:35"
"70","01:08:49","01:11:59"
"73","01:13:13","01:15:52"
"74","01:16:07","01:18:13"
"75","01:18:16","01:22:23"
"77","01:23:16","01:25:43"
"78","01:26:26","01:26:51"
"80","01:27:10","01:27:41"
"82","01:28:01","01:28:33"
"84","01:28:38","01:28:40"
"85","01:28:48","01:28:50"
"86","01:29:02","01:29:12"
"89","01:30:47","01:33:17"
"90","01:33:21","01:33:59"
"92","01:34:18","01:34:28"
"93","01:34:32","01:34:34"
"94","01:34:37","01:34:55"
"96","01:35:00","01:35:28"
"97","01:35:32","01:36:41"
"98","01:36:59","01:40:01"
"100","01:40:28","01:41:08"
"102","01:41:13","01:41:23"
"103","01:41:25","01:41:54"
"108","01:42:00","01:42:08"
"109","01:42:08","01:42:23"
"110","01:42:41","01:43:18"
"112","01:43:59","01:44:23"
"113","01:44:28","01:45:14"
"114","01:45:53","01:45:55"
"115","01:47:48","01:48:42"
"116","01:48:53","01:50:37"
"117","01:50:45","01:51:01"
"118","01:51:05","01:51:17"
"120","01:51:31","01:51:33"
"121","01:51:50","01:54:37"
"122","01:54:37","01:54:39"
"123","01:54:51","01:55:01"
"124","01:55:08","01:58:44"
"125","01:58:48","01:58:53"
"126","01:58:59","01:59:12"
"128","01:59:57","02:01:37"
"130","02:02:03","02:02:12"
"131","02:02:32","02:02:35"
"135","02:03:22","02:03:24"
