"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"95","loki","[162, 137, 191, 162, 5, 5, 64, 64, 65, 68, 64, 64, 64, 64, 53, 55, 56, 57, 6, 26, 35, 45, 46, 190, 142, 128, 124, 118, 118, 117, 117, 117, 82, 71, 70, 68, 68, 68, 118, 118, 117, 117, 68, 71, 65, 68, 65, 65, 63, 64, 56, 59, 53, 55]","[879, 802, 935, 883, 47, 46, 433, 443, 488, 504, 420, 421, 422, 423, 330, 356, 373, 389, 60, 145, 173, 308, 319, 926, 827, 792, 775, 739, 732, 723, 715, 714, 624, 567, 543, 517, 512, 505, 742, 746, 721, 722, 513, 555, 481, 511, 469, 471, 411, 434, 382, 394, 332, 347]"
"96","long","[90, 70, 117, 90, 63, 168, 40, 4, 64, 44]","[644, 538, 708, 646, 411, 891, 270, 12, 428, 293]"
"97","luchkov","[19]","[82]"
"98","make","[5, 35, 37, 38, 46, 57, 69, 71, 73, 73, 71, 70, 53, 190, 117, 76, 19, 4, 118, 71, 68, 54, 40, 23, 72, 191]","[51, 165, 197, 258, 319, 387, 528, 567, 587, 583, 549, 538, 322, 925, 717, 616, 84, 18, 740, 572, 512, 335, 270, 139, 576, 935]"
"99","meet","[38, 64, 81]","[254, 439, 623]"
"100","middle","[19]","[88]"
"101","mountain","[69]","[524]"
"102","mouth","[74]","[597]"
"103","natasha","[19, 117, 117, 117, 146, 23, 23, 68, 104, 23, 19, 104]","[91, 713, 722, 725, 847, 115, 139, 519, 669, 116, 89, 667]"
"104","night","[118, 64]","[746, 432]"
"105","open","[40, 5, 21, 64]","[269, 41, 101, 428]"
"106","people","[26, 5, 65, 68, 64, 64, 45, 53, 38, 38, 142, 142, 74, 142, 71, 74, 68, 71, 137, 114, 71, 68, 59, 46]","[153, 48, 484, 511, 414, 424, 303, 326, 251, 260, 818, 820, 597, 809, 565, 592, 519, 564, 802, 690, 555, 517, 394, 319]"
"107","pepper","[37, 36]","[215, 186]"
"108","phone","[19, 37]","[84, 211]"
"109","piece","[4]","[20]"
"110","place","[5, 53, 65, 44]","[56, 322, 475, 300]"
"111","play","[63, 37, 64, 64, 70, 64, 117, 73, 117]","[407, 230, 446, 413, 541, 447, 709, 587, 717]"
"112","portal","[5, 64, 64, 146, 152, 64, 146, 59, 63, 162, 172]","[58, 427, 416, 847, 856, 428, 844, 394, 409, 883, 898]"
"113","potts","[174, 37, 37]","[905, 207, 233]"
"114","power","[1, 56, 56, 5, 53, 64, 63, 63, 57, 118, 99, 68, 64, 59, 163, 162]","[1, 378, 379, 29, 322, 430, 411, 410, 392, 739, 658, 513, 433, 394, 884, 881]"
"115","prepared","[5, 68, 68]","[30, 514, 516]"
"116","pulls","[69, 142, 97]","[528, 812, 655]"
"117","push","[89, 26, 122]","[642, 153, 759]"
"118","reactor","[36, 65, 64, 123]","[181, 494, 436, 762]"
"119","ready","[1, 71, 26, 170, 123]","[2, 567, 149, 896, 766]"
"120","remember","[56, 56, 142, 53, 55, 54, 36]","[371, 372, 814, 332, 347, 344, 186]"
"121","runs","[76, 65, 26]","[615, 478, 152]"
"121","running","[76, 65, 26]","[615, 478, 152]"
"122","russian","[69]","[532]"
"123","scepter","[162, 124, 162, 40, 74]","[882, 785, 879, 265, 599]"
"124","sees","[162, 45]","[883, 308]"
"125","selvig","[64, 64, 123, 68, 4, 4, 64, 5, 5, 162, 65, 59, 4]","[435, 417, 763, 505, 11, 7, 416, 38, 39, 883, 448, 394, 6]"
"126","shield","[65, 65, 69, 71, 36, 45, 45, 64, 71, 71, 72, 93, 23, 23]","[475, 478, 528, 549, 188, 304, 307, 427, 560, 575, 576, 649, 118, 117]"
"127","ship","[65]","[460]"
"128","shut","[26, 65, 4, 172, 123, 167]","[150, 487, 11, 898, 763, 889]"
"129","sides","[5]","[41]"
"130","single","[124]","[778]"
"131","small","[71]","[563]"
"132","smiling","[184, 124, 65, 73]","[909, 777, 483, 589]"
"133","soldier","[118, 26, 117, 53, 117, 46, 124, 118]","[738, 156, 723, 328, 722, 319, 778, 737]"
"134","spear","[5]","[42]"
"135","standing","[68, 53, 4]","[519, 327, 21]"
"136","stark","[19, 37, 37, 37, 54, 19, 35, 37, 37, 55, 65, 65, 65, 168, 149, 174, 173, 19, 181, 37, 36, 85, 77, 130, 101, 142, 137, 146, 142, 71, 71, 71, 72, 142, 174, 114, 137, 65, 71, 53, 65, 37, 53]","[97, 216, 221, 246, 337, 98, 171, 211, 212, 357, 451, 463, 473, 890, 849, 903, 901, 96, 907, 197, 180, 633, 618, 795, 661, 829, 801, 844, 834, 544, 571, 572, 576, 803, 904, 690, 802, 472, 567, 332, 460, 210, 322]"
"137","steve","[73, 72, 65]","[581, 576, 485]"
"138","stop","[130, 123, 117, 74, 73, 23]","[796, 764, 718, 607, 589, 138]"
"139","straight","[168, 59]","[890, 401]"
"140","suddenly","[71, 68, 71]","[560, 504, 548]"
"141","suit","[120, 120, 142, 73, 74, 74, 74, 56, 65, 73]","[753, 751, 837, 591, 608, 610, 612, 377, 493, 584]"
"142","takes","[124, 19, 41, 36]","[777, 87, 283, 181]"
