"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"12","2752","132"
"12","2751","132"
"12","2754","132"
"12","2753","132"
"12","2746","132"
"12","2745","132"
"12","2742","132"
"12","2741","132"
"12","2748","132"
"12","2747","132"
"12","2750","132"
"12","2749","132"
"12","2756","132"
"12","2755","132"
"12","2759","132"
"12","2743","132"
"12","2744","132"
"12","2758","132"
"12","2757","132"
"12","2699","127"
"12","2691","127"
"12","2690","127"
"12","2698","127"
"12","2697","127"
"12","2696","127"
"12","2695","127"
"12","2694","127"
"12","2693","127"
"12","2692","127"
"12","1840","35"
"12","1841","35"
"12","1839","35"
"12","1842","35"
"12","1721","23"
"12","1726","23"
"12","1723","23"
"12","1722","23"
"12","1725","23"
"12","1727","23"
"12","1728","23"
"12","1724","23"
"12","1729","23"
"12","1847","35"
"12","1848","35"
"12","1849","35"
"12","1843","35"
"12","1850","35"
"12","1844","35"
"12","1845","35"
"12","1851","35"
"12","1846","35"
"12","1852","35"
"12","1602","13"
"12","1604","13"
"12","1600","12"
"12","1599","12"
"12","1601","12"
"12","1597","12"
"12","1598","12"
"12","1594","12"
"12","1596","12"
"12","1595","12"
"12","1591","12"
"12","1592","12"
"12","1593","12"
"12","1577","10"
"12","1578","10"
"12","1574","10"
"12","1575","10"
"12","1576","10"
"12","1573","9"
"12","1569","9"
"12","1570","9"
"12","1571","9"
"12","1572","9"
"12","1566","9"
"12","1565","9"
"12","1568","9"
"12","1567","9"
"12","1613","14"
"12","1616","14"
"12","1615","14"
"12","1612","14"
"12","1614","14"
"12","1621","14"
"12","1624","14"
"12","1623","14"
"12","1620","14"
"12","1619","14"
"12","1622","14"
"12","1618","14"
"12","1617","14"
"12","1610","13"
"12","1611","13"
"12","1609","13"
"12","1608","13"
"12","1605","13"
"12","1607","13"
"12","1603","13"
"12","1606","13"
"12","1544","6"
"12","1543","6"
"12","1538","6"
"12","1537","6"
"12","1536","6"
"12","1542","6"
"12","1541","6"
"12","1554","9"
"12","1556","9"
"12","1555","9"
"12","1553","6"
"12","1547","6"
"12","1548","6"
"12","1545","6"
"12","1546","6"
"12","1551","6"
"12","1552","6"
"12","1549","6"
"12","1550","6"
"12","1539","6"
