"DIALOGUE ID","START TIME","END TIME"
"1","00:02:47","00:02:54"
"2","00:03:04","00:03:05"
"3","00:03:07","00:03:10"
"4","00:03:13","00:03:14"
"5","00:03:13","00:03:14"
"6","00:03:13","00:03:14"
"7","00:04:57","00:04:59"
"8","00:05:16","00:05:18"
"9","00:05:18","00:05:25"
"10","00:05:26","00:05:28"
"11","00:05:41","00:05:44"
"12","00:05:45","00:05:47"
"13","00:05:47","00:05:50"
"14","00:05:50","00:05:57"
"15","00:05:57","00:06:01"
"16","00:06:05","00:06:08"
"17","00:06:05","00:06:08"
"18","00:06:05","00:06:08"
"19","00:06:36","00:06:41"
"20","00:06:43","00:06:47"
"21","00:06:50","00:06:54"
"22","00:06:58","00:07:00"
"23","00:07:07","00:07:11"
"24","00:07:07","00:07:12"
"25","00:07:12","00:07:15"
"26","00:07:12","00:07:15"
"27","00:07:12","00:07:15"
"28","00:07:12","00:07:15"
"29","00:07:12","00:07:15"
"30","00:07:12","00:07:15"
"31","00:07:12","00:07:15"
"32","00:07:12","00:07:15"
"33","00:07:12","00:07:15"
"34","00:07:12","00:07:15"
"35","00:07:12","00:07:15"
"36","00:07:12","00:07:15"
"37","00:07:12","00:07:15"
"38","00:07:12","00:07:15"
"39","00:07:12","00:07:15"
"40","00:07:12","00:07:15"
"41","00:07:12","00:07:15"
"42","00:07:12","00:07:15"
"43","00:07:12","00:07:41"
"44","00:07:39","00:07:41"
"45","00:07:39","00:07:41"
"46","00:07:39","00:07:41"
"47","00:07:39","00:07:45"
"48","00:07:41","00:07:45"
"49","00:07:41","00:07:45"
"50","00:07:41","00:07:45"
"51","00:07:41","00:07:53"
"52","00:07:49","00:07:53"
"53","00:07:49","00:07:53"
"54","00:07:49","00:07:53"
"55","00:09:14","00:09:17"
"56","00:09:24","00:09:26"
"57","00:09:31","00:09:33"
"58","00:09:31","00:09:39"
"59","00:09:39","00:09:41"
"60","00:09:43","00:09:45"
"61","00:09:43","00:09:58"
"62","00:09:58","00:10:02"
"63","00:10:17","00:10:20"
"64","00:10:54","00:11:02"
"65","00:11:06","00:11:11"
"66","00:11:11","00:11:13"
"67","00:11:11","00:11:13"
"68","00:11:11","00:11:13"
"69","00:11:11","00:11:13"
"70","00:11:11","00:11:13"
"71","00:11:11","00:11:13"
"72","00:11:11","00:11:13"
"73","00:11:11","00:11:13"
"74","00:11:11","00:11:13"
"75","00:11:11","00:11:13"
"76","00:11:11","00:11:13"
"77","00:11:11","00:11:13"
"78","00:11:11","00:11:13"
"79","00:11:11","00:11:13"
"80","00:11:11","00:11:13"
"81","00:11:11","00:11:13"
"82","00:11:11","00:11:13"
"83","00:11:11","00:11:13"
"84","00:11:11","00:11:13"
"85","00:11:11","00:11:13"
"86","00:11:11","00:11:13"
"87","00:11:11","00:11:13"
"88","00:11:11","00:11:13"
"89","00:11:11","00:11:13"
"90","00:11:11","00:11:13"
"91","00:11:11","00:11:13"
"92","00:11:11","00:11:13"
"93","00:11:11","00:11:13"
"94","00:11:11","00:11:13"
"95","00:11:11","00:11:13"
"96","00:15:32","00:15:35"
"97","00:15:36","00:15:38"
"98","00:15:54","00:15:56"
"99","00:16:03","00:16:04"
"100","00:16:12","00:16:14"
"101","00:16:27","00:16:31"
"102","00:17:19","00:17:24"
"103","00:17:24","00:17:27"
"104","00:17:24","00:17:27"
"105","00:17:24","00:17:27"
"106","00:17:24","00:17:27"
"107","00:17:24","00:17:27"
"108","00:17:24","00:17:27"
"109","00:17:24","00:17:27"
"110","00:17:24","00:17:40"
"111","00:18:11","00:18:13"
"112","00:18:13","00:18:19"
"113","00:18:17","00:18:22"
"114","00:18:22","00:18:26"
"115","00:18:28","00:18:37"
"116","00:18:57","00:18:59"
"117","00:18:57","00:18:59"
"118","00:18:57","00:18:59"
"119","00:19:02","00:19:04"
"120","00:19:07","00:19:12"
"121","00:19:12","00:19:14"
"122","00:19:12","00:19:14"
"123","00:19:12","00:19:14"
"124","00:19:12","00:19:17"
"125","00:19:18","00:19:19"
"126","00:19:18","00:19:25"
"127","00:19:29","00:19:31"
"128","00:19:31","00:19:36"
"129","00:19:42","00:19:51"
"130","00:19:51","00:19:55"
"131","00:19:56","00:19:58"
"132","00:19:56","00:20:03"
"133","00:20:03","00:20:13"
"134","00:20:13","00:20:18"
"135","00:20:18","00:20:20"
"136","00:20:20","00:20:23"
"137","00:20:20","00:20:23"
"138","00:20:20","00:20:26"
"139","00:20:26","00:20:32"
"140","00:20:32","00:20:33"
"141","00:20:35","00:20:39"
"142","00:20:39","00:20:44"
"143","00:20:44","00:20:46"
"144","00:20:44","00:20:49"
"145","00:20:50","00:20:52"
"146","00:20:50","00:21:00"
"147","00:21:01","00:21:07"
"148","00:21:07","00:21:11"
"149","00:21:11","00:21:12"
"150","00:21:12","00:21:15"
"151","00:21:12","00:21:15"
"152","00:21:29","00:21:34"
"153","00:21:34","00:21:36"
"154","00:21:36","00:21:39"
"155","00:21:36","00:21:39"
"156","00:21:40","00:21:46"
"157","00:21:44","00:21:46"
"158","00:21:48","00:21:54"
"159","00:21:58","00:22:16"
"160","00:22:13","00:22:16"
"161","00:22:13","00:22:16"
"162","00:22:19","00:22:26"
"163","00:22:28","00:22:33"
"164","00:22:36","00:22:45"
"165","00:22:45","00:22:52"
"166","00:22:55","00:22:57"
"167","00:22:55","00:23:03"
"168","00:23:02","00:23:03"
"169","00:23:02","00:23:03"
"170","00:23:02","00:23:03"
"171","00:23:02","00:23:03"
"172","00:23:02","00:23:19"
"173","00:23:22","00:23:25"
"174","00:23:22","00:23:25"
"175","00:23:28","00:23:31"
"176","00:23:39","00:23:43"
"177","00:23:39","00:23:43"
"178","00:23:43","00:23:49"
"179","00:23:46","00:23:59"
"180","00:23:57","00:24:08"
"181","00:24:10","00:24:12"
"182","00:24:13","00:24:19"
"183","00:24:19","00:24:22"
"184","00:24:19","00:24:30"
"185","00:24:31","00:24:41"
"186","00:24:48","00:24:54"
"187","00:24:52","00:24:54"
"188","00:24:52","00:24:54"
"189","00:24:52","00:26:23"
"190","00:26:20","00:26:23"
"191","00:26:20","00:26:23"
"192","00:26:20","00:26:23"
"193","00:26:20","00:26:23"
"194","00:26:20","00:26:23"
"195","00:26:20","00:26:23"
"196","00:26:20","00:26:23"
"197","00:26:20","00:26:23"
"198","00:26:20","00:26:23"
"199","00:26:20","00:26:23"
"200","00:26:20","00:26:31"
"201","00:26:28","00:26:31"
"202","00:26:28","00:26:47"
"203","00:26:45","00:26:50"
"204","00:26:51","00:26:54"
"205","00:26:51","00:26:57"
"206","00:26:57","00:26:59"
