"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"124","imperial","[52,59]","[220,225]"
"125","moon","[59,65,73,78,89,113]","[221,225,265,312,371,441,508]"
"126","fighters","[59,80,96,100,123,126]","[221,415,460,486,548,560]"
"127","ackbar","[59]","[221]"
"128","generator","[59,71,77,125]","[225,289,360,555]"
"129","smiles","[59]","[229]"
"130","warmly","[60]","[237]"
"131","rebel","[62,73,79,89,90]","[252,308,393,441,437,447]"
"132","controller","[67,66,63,80]","[270,269,256,255,411]"
"133","piett","[65,66]","[265,269]"
"134","switch","[69]","[279]"
"135","closer","[112,70]","[503,281]"
"136","scout","[72]","[300]"
"137","guards","[72,89,82]","[305,431,420]"
"138","surprise","[84,73]","[425,308]"
"139","sanctuary","[89,73]","[441,312]"
"140","bows","[73]","[313]"
"141","lightsaber","[89,79,75]","[434,401,322]"
"142","figure","[75]","[322]"
"143","appears","[76]","[342]"
"144","wicket","[90,77]","[445,359]"
"145","scouts","[77]","[360]"
"146","weapons","[77]","[361]"
"147","area","[79]","[393]"
"148","platform","[80]","[411]"
"149","companion","[82]","[424]"
"150","furry","[82]","[424]"
"151","leader","[92,96,100,108,117,125,132,131]","[450,451,449,463,484,493,531,558,575,572]"
"152","fire","[96,103,126]","[462,491,492,560]"
"153","cruisers","[109,96]","[496,462]"
"154","wedge","[100,132,131]","[480,574,571]"
"155","hands","[115]","[521]"
"156","space","[125]","[556]"
"157","surface","[125]","[557]"
"158","destroyer","[126]","[560]"
"159","bridge","[127]","[561]"
