SOURCE NODE ID,TARGET NODE ID,SOURCE SCENE ID,TARGET SCENE ID
"192","193","1","2"
"193","192","2","1"
"193","194","3","4"
"193","218","37","36"
"193","219","37","38"
"194","193","4","3"
"194","195","4","5"
"194","221","41","40"
"194","222","41","42"
"195","194","5","4"
"195","196","7","6"
"195","196","5","6"
"195","197","7","8"
"195","197","9","8"
"195","197","9","10"
"195","197","11","10"
"195","198","13","12"
"195","198","11","12"
"195","199","13","14"
"195","209","25","24"
"195","209","25","26"
"195","304","175","174"
"195","305","175","176"
"196","195","6","7"
"196","195","6","5"
"197","195","8","7"
"197","195","8","9"
"197","195","10","9"
"197","195","10","11"
"198","195","12","11"
"198","195","12","13"
"199","195","14","13"
"199","200","14","15"
"199","286","147","146"
"199","287","147","148"
"200","199","15","14"
"200","201","15","16"
"201","200","16","15"
"201","202","16","17"
"201","204","145","144"
"201","284","141","140"
"201","285","141","142"
"201","286","145","146"
"202","201","17","16"
"202","203","17","18"
"203","202","18","17"
"203","204","18","19"
"204","201","144","145"
"204","203","19","18"
"204","205","19","20"
"204","206","144","143"
"205","204","20","19"
"205","206","20","21"
"206","204","143","144"
"206","205","21","20"
"206","207","21","22"
"206","285","143","142"
"207","206","22","21"
"207","208","22","23"
"208","207","23","22"
"208","209","23","24"
"209","195","26","25"
"209","195","24","25"
"209","208","24","23"
"209","210","26","27"
"210","209","27","26"
"210","211","27","28"
"211","210","28","27"
"211","212","28","29"
"212","211","29","28"
"212","213","29","30"
"213","212","30","29"
"213","214","30","31"
"214","213","31","30"
"214","215","31","32"
"215","214","32","31"
"215","216","32","33"
"215","290","152","151"
"215","291","152","153"
"216","215","33","32"
"216","217","33","34"
"217","216","34","33"
"217","218","35","36"
"218","193","36","37"
"218","217","36","35"
"219","193","38","37"
"219","220","38","39"
"219","226","109","110"
"219","261","109","108"
"219","267","121","120"
"219","268","122","123"
"220","219","39","38"
"220","221","39","40"
"221","194","40","41"
"221","220","40","39"
"221","261","112","113"
"221","262","112","111"
"221","263","115","114"
"221","264","115","116"
"222","194","42","41"
"222","223","42","43"
"222","236","61","62"
"222","237","61","60"
"223","222","43","42"
"223","224","43","44"
"223","226","47","46"
"223","227","47","48"
"223","265","118","117"
"223","266","118","119"
"224","223","44","43"
"224","225","44","45"
"225","224","45","44"
"225","226","45","46"
"226","219","110","109"
"226","223","46","47"
"226","225","46","45"
"226","244","107","106"
"226","247","101","100"
"226","258","101","102"
"226","261","107","108"
"226","262","110","111"
"227","223","48","47"
"227","228","48","49"
"227","233","56","55"
"227","234","56","57"
"228","227","49","48"
"228","229","49","50"
"228","247","78","77"
"228","248","78","79"
"229","228","50","49"
"229","230","50","51"
"229","230","66","67"
"229","236","66","65"
"230","229","51","50"
"230","229","67","66"
"230","231","53","52"
"230","231","51","52"
"230","232","53","54"
"230","240","67","68"
"231","230","52","51"
"231","230","52","53"
"232","230","54","53"
"232","233","54","55"
"233","227","55","56"
"233","232","55","54"
"234","227","57","56"
"234","235","57","58"
"235","234","58","57"
"235","236","58","59"
"236","222","62","61"
"236","229","65","66"
"236","235","59","58"
"236","237","59","60"
"236","238","62","63"
"236","239","65","64"
"236","258","103","102"
"236","259","103","104"
"237","222","60","61"
"237","236","60","59"
"238","236","63","62"
"238","239","63","64"
"239","236","64","65"
